date,day,steps,distance,altitude,calories
2017-06-21,Wednesday,12231,8.88,21,2719
2017-06-22,Thursday,16276,11.82,30,2876
2017-06-23,Friday,14781,10.8,40,2792
2017-06-24,Saturday,1201,0.87,4,1816
2017-06-25,Sunday,6463,4.69,32,2247
2017-06-26,Monday,21528,15.64,62,3185
2017-06-27,Tuesday,2761,2.0,4,2102
2017-06-28,Wednesday,12267,8.91,70,2585
2017-06-29,Thursday,16853,12.24,13,2861
2017-06-30,Friday,2992,2.17,6,2121
2017-07-01,Saturday,4193,3.04,10,2262
2017-07-02,Sunday,6551,4.75,21,2512
2017-07-03,Monday,13494,9.8,85,2819
2017-07-04,Tuesday,5180,3.76,4,2216
2017-07-05,Wednesday,5831,4.23,7,2399
2017-07-06,Thursday,6538,4.74,11,2346
2017-07-07,Friday,42053,30.55,223,4943
2017-07-08,Saturday,20411,14.82,34,3040
2017-07-09,Sunday,21951,15.94,24,3121
2017-07-10,Monday,23005,16.71,32,3123
2017-07-11,Tuesday,21708,15.77,34,3096
2017-07-12,Wednesday,27247,19.79,120,3426
2017-07-13,Thursday,3786,2.74,1,2064
2017-07-14,Friday,17226,12.51,16,2828
2017-07-15,Saturday,6328,4.59,18,2255
2017-07-16,Sunday,891,0.64,4,1873
2017-07-17,Monday,4254,3.09,5,2091
2017-07-18,Tuesday,13856,10.06,18,2693
2017-07-19,Wednesday,812,0.59,2,1830
2017-07-20,Thursday,4087,2.96,7,2064
2017-07-21,Friday,1908,1.38,4,2006
2017-07-22,Saturday,3688,2.67,2,2050
2017-07-23,Sunday,3321,2.41,4,2195
2017-07-24,Monday,11390,8.27,20,2519
2017-07-25,Tuesday,1119,0.81,2,1891
2017-07-26,Wednesday,11721,8.51,18,2679
2017-07-27,Thursday,20061,14.57,31,3028
2017-07-28,Friday,15788,9.83,45,3516
2017-07-29,Saturday,1911,1.65,3,1922
2017-07-30,Sunday,10103,7.37,64,2364
2017-07-31,Monday,3392,2.46,3,2090
2017-08-01,Tuesday,13497,9.87,15,2534
2017-08-02,Wednesday,6400,4.64,21,2305
2017-08-03,Thursday,11605,8.43,20,2550
2017-08-04,Friday,1039,0.75,1,1794
2017-08-05,Saturday,7160,5.34,5,2280
2017-08-06,Sunday,16870,12.25,19,3082
2017-08-07,Monday,18850,13.69,24,3078
2017-08-08,Tuesday,5734,4.16,14,2286
2017-08-09,Wednesday,3005,2.18,8,2065
2017-08-10,Thursday,12490,9.25,18,2945
2017-08-11,Friday,22867,16.6,37,3230
2017-08-12,Saturday,31270,22.77,63,4021
2017-08-13,Sunday,24233,17.79,47,3376
2017-08-14,Monday,16562,12.52,56,3059
2017-08-15,Tuesday,30673,22.27,34,3780
2017-08-16,Wednesday,22727,16.49,50,3204
2017-08-17,Thursday,21749,15.79,36,3567
2017-08-18,Friday,25485,18.54,32,3675
2017-08-19,Saturday,16741,12.22,14,3012
2017-08-20,Sunday,19844,14.41,33,3136
2017-08-21,Monday,21817,15.98,18,3197
2017-08-22,Tuesday,19708,14.31,7,2851
2017-08-23,Wednesday,31666,23.0,10,3945
2017-08-24,Thursday,24501,17.79,12,3537
2017-08-25,Friday,24524,17.81,51,3799
2017-08-26,Saturday,21968,15.99,12,3452
2017-08-27,Sunday,13126,9.53,7,3175
2017-08-28,Monday,13972,10.15,78,2689
2017-08-29,Tuesday,2354,1.71,3,1867
2017-08-30,Wednesday,8021,5.82,17,2287
2017-08-31,Thursday,8131,5.91,8,2238
2017-09-01,Friday,6921,4.45,2,2465
2017-09-02,Saturday,10252,5.71,27,2462
2017-09-03,Sunday,9110,4.98,3,2370
2017-09-04,Monday,2872,1.57,3,2173
2017-09-05,Tuesday,19210,10.53,14,3266
2017-09-06,Wednesday,15780,9.37,22,3035
2017-09-07,Thursday,2468,1.35,1,2007
2017-09-08,Friday,14690,8.16,20,3177
2017-09-09,Saturday,6121,3.35,4,3016
2017-09-10,Sunday,5720,3.13,39,2326
2017-09-11,Monday,7663,4.27,21,2745
2017-09-12,Tuesday,14029,7.81,47,3066
2017-09-13,Wednesday,3092,1.87,4,1984
2017-09-14,Thursday,1929,1.05,2,1888
2017-09-15,Friday,3001,1.64,4,2335
2017-09-16,Saturday,18553,10.17,12,3385
2017-09-17,Sunday,10726,5.88,10,2994
2017-09-18,Monday,21475,11.77,17,3153
2017-09-19,Tuesday,7408,4.06,18,2445
2017-09-20,Wednesday,4036,2.2,12,2323
2017-09-21,Thursday,17401,9.54,28,2924
2017-09-22,Friday,7608,4.16,13,2680
2017-09-23,Saturday,16943,9.28,19,3354
2017-09-24,Sunday,21429,11.83,39,3380
2017-09-25,Monday,23112,13.01,42,3400
2017-09-26,Tuesday,20041,11.54,37,3081
2017-09-27,Wednesday,24949,13.76,59,3342
2017-09-28,Thursday,18149,9.94,36,3276
2017-09-29,Friday,17011,9.32,28,3046
2017-09-30,Saturday,10968,6.0,4,2612
2017-10-01,Sunday,5894,3.23,4,2232
2017-10-02,Monday,9012,4.94,72,2450
2017-10-03,Tuesday,18062,10.04,33,2883
2017-10-04,Wednesday,10521,5.76,28,2582
2017-10-05,Thursday,6703,3.76,20,2242
2017-10-06,Friday,11508,6.3,22,2526
2017-10-07,Saturday,5304,2.99,3,2258
2017-10-08,Sunday,3986,2.18,6,2021
